type	feature	n	log_odds_weighted	log_odds_weighted_scaled
speech	aiax	11	-0.376176924222003	0.17927815736815692
speech	lacio	2	-0.379706743131621	0.1790737510762096
speech	hispidus	2	-0.379706743131621	0.1790737510762096
speech	flumineus	2	-0.379706743131621	0.1790737510762096
speech	aethra	2	-0.379706743131621	0.1790737510762096
speech	amica	2	-0.379706743131621	0.1790737510762096
speech	insidiae	2	-0.379706743131621	0.1790737510762096
speech	tondeo	2	-0.379706743131621	0.1790737510762096
speech	abscindo	2	-0.379706743131621	0.1790737510762096
speech	leuitas	2	-0.379706743131621	0.1790737510762096
speech	pyrene	2	-0.379706743131621	0.1790737510762096
speech	corruo	2	-0.379706743131621	0.1790737510762096
speech	percurro	2	-0.379706743131621	0.1790737510762096
speech	cythereius	2	-0.379706743131621	0.1790737510762096
speech	reminiscor	2	-0.379706743131621	0.1790737510762096
speech	index	2	-0.379706743131621	0.1790737510762096
speech	nimbosus	2	-0.379706743131621	0.1790737510762096
speech	horrificus	2	-0.379706743131621	0.1790737510762096
speech	bidens	2	-0.379706743131621	0.1790737510762096
speech	defluo	2	-0.379706743131621	0.1790737510762096
speech	deuoluo	2	-0.379706743131621	0.1790737510762096
speech	nessus	2	-0.379706743131621	0.1790737510762096
speech	contundo	2	-0.379706743131621	0.1790737510762096
speech	musso	2	-0.379706743131621	0.1790737510762096
speech	oenotria	2	-0.379706743131621	0.1790737510762096
speech	protendo	2	-0.379706743131621	0.1790737510762096
speech	capys	2	-0.379706743131621	0.1790737510762096
speech	portendo	2	-0.379706743131621	0.1790737510762096
speech	apis	2	-0.379706743131621	0.1790737510762096
speech	conditor	2	-0.379706743131621	0.1790737510762096
speech	intrepidus	2	-0.379706743131621	0.1790737510762096
speech	exprimo	2	-0.379706743131621	0.1790737510762096
speech	ancaeus	2	-0.379706743131621	0.1790737510762096
speech	falcatus	2	-0.379706743131621	0.1790737510762096
speech	fundus	10	-0.379959351147722	0.1790591229411099
speech	manus	321	-0.381419742025862	0.17897455398960338
speech	cruor	66	-0.382064753743598	0.17893720236991384
speech	xuii	0	-0.382137598007822	0.1789329840725108
speech	harundineus	0	-0.382137598007822	0.1789329840725108
speech	coris	0	-0.382137598007822	0.1789329840725108
speech	magnes	0	-0.382137598007822	0.1789329840725108
speech	euhius	0	-0.382137598007822	0.1789329840725108
speech	spiraculum	0	-0.382137598007822	0.1789329840725108
speech	efferuesco	0	-0.382137598007822	0.1789329840725108
speech	maera	0	-0.382137598007822	0.1789329840725108
speech	efferuo	0	-0.382137598007822	0.1789329840725108
speech	emathion	0	-0.382137598007822	0.1789329840725108
speech	inextricabilis	0	-0.382137598007822	0.1789329840725108
speech	induperator	0	-0.382137598007822	0.1789329840725108
speech	cornix	0	-0.382137598007822	0.1789329840725108
speech	aeetiae	0	-0.382137598007822	0.1789329840725108
speech	uenefica	0	-0.382137598007822	0.1789329840725108
speech	marsya	0	-0.382137598007822	0.1789329840725108
speech	aedifico	0	-0.382137598007822	0.1789329840725108
